AGE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,GENDER_male,RACE_minority,VEHICLE_TYPE_sports car,OUTCOME,RISK_SCORE,RISK_CATEGORY
1,1,0,0,0.5415955914632157,0.0,1,1.0,1.0,11000.0,1,0,0,False,False,False,1.0,0.48045453688361484,Medium Risk
3,2,0,2,0.5534622777479923,1.0,1,1.0,0.0,8000.0,3,1,4,False,False,False,0.0,0.021312129858548527,Low Risk
0,0,1,1,0.2457399176525432,0.0,1,0.0,0.0,13000.0,0,0,0,False,True,False,1.0,0.8319698370567178,High Risk
0,0,1,1,0.5250327586154788,1.0,1,0.0,0.0,14000.0,0,0,0,True,False,False,1.0,0.791624917785437,High Risk
2,2,2,2,0.6894583760122324,1.0,0,1.0,1.0,10000.0,2,0,0,False,False,True,0.0,0.06075178437901227,Low Risk
2,2,2,2,0.6794200245925399,1.0,0,0.0,1.0,18000.0,1,0,1,True,False,False,0.0,0.05243888771146112,Low Risk
1,1,2,2,0.4878230368490386,1.0,1,1.0,1.0,12000.0,4,2,0,False,False,False,0.0,0.34105840314757574,Medium Risk
3,3,0,2,0.7020880143855619,1.0,0,1.0,1.0,11000.0,10,2,3,True,False,False,0.0,0.00859650205431981,Low Risk
3,3,2,2,0.5455142196510997,1.0,0,1.0,1.0,12000.0,6,0,8,True,False,False,0.0,0.0024031788074486264,Low Risk
1,1,0,2,0.696136173927799,1.0,0,0.0,1.0,13000.0,3,0,1,True,False,False,0.0,0.15590124961718327,Low Risk
3,2,2,2,0.7293609365968912,1.0,0,1.0,1.0,7000.0,2,0,1,False,False,False,0.0,0.016810698879018503,Low Risk
1,0,2,0,0.4280803263315709,0.0,1,1.0,1.0,7000.0,0,0,0,True,False,False,1.0,0.8069498672830467,High Risk
3,3,2,2,0.7265597100432507,1.0,1,1.0,0.0,12000.0,11,1,1,True,False,False,1.0,0.028337850157534827,Low Risk
1,1,1,0,0.4248440726698839,0.0,0,0.0,1.0,13000.0,2,0,2,True,False,False,0.0,0.30762221312695526,Medium Risk
1,1,2,0,0.4776383009311198,1.0,1,0.0,1.0,8000.0,0,2,4,False,False,False,0.0,0.14093934199690447,Low Risk
3,1,2,2,0.5866381174007745,1.0,1,0.0,1.0,12000.0,1,0,0,False,False,False,0.0,0.14940245008313108,Low Risk
3,3,2,2,0.5864390926529277,1.0,1,1.0,1.0,9000.0,3,2,5,True,False,False,0.0,0.008946268342597801,Low Risk
0,0,0,1,0.359395084763826,1.0,1,1.0,0.0,13000.0,0,0,0,True,True,False,1.0,0.6809609912193788,High Risk
1,1,2,2,0.7418494314704756,1.0,0,0.0,0.0,16000.0,1,0,2,True,True,False,0.0,0.06545174853474074,Low Risk
2,2,0,2,0.7221845906508915,1.0,0,0.0,0.0,15000.0,2,2,1,True,False,False,0.0,0.022668749312119426,Low Risk
2,2,0,2,0.6518556832704588,0.0,0,1.0,1.0,12000.0,4,1,5,True,False,False,0.0,0.08397431163167109,Low Risk
2,0,2,2,0.8164725583058063,1.0,0,1.0,1.0,11000.0,0,0,0,False,False,False,1.0,0.038248531088562326,Low Risk
2,0,2,2,0.6441433294943851,1.0,1,1.0,1.0,7000.0,0,0,0,True,False,False,1.0,0.6154253105745829,High Risk
1,1,2,2,0.6682771777294927,1.0,1,1.0,1.0,13000.0,4,0,2,False,False,False,0.0,0.14283864610155694,Low Risk
3,1,0,2,0.7651678828229611,1.0,1,1.0,1.0,9000.0,0,1,0,True,False,False,0.0,0.18581800113210759,Low Risk
2,0,2,2,0.6404262676947586,1.0,1,0.0,0.0,12000.0,0,0,0,False,False,False,0.0,0.585956770574669,Medium Risk
1,1,2,2,0.6477397119577972,1.0,1,0.0,1.0,9000.0,1,1,0,False,False,False,1.0,0.11729268659230666,Low Risk
3,3,2,2,0.6567180218384583,1.0,0,1.0,1.0,11000.0,0,0,2,False,False,False,0.0,0.007543499896518419,Low Risk
1,1,0,2,0.5250327586154788,1.0,1,0.0,1.0,13000.0,2,0,1,True,True,True,0.0,0.18335044265441147,Low Risk
2,2,1,1,0.5250327586154788,0.0,1,1.0,1.0,13000.0,3,1,2,True,False,False,0.0,0.07293494792145555,Low Risk
0,0,1,1,0.2708440121659797,0.0,1,0.0,1.0,12000.0,0,0,0,True,False,False,1.0,0.9733805562882761,High Risk
0,0,1,1,0.2667602155246711,0.0,1,0.0,0.0,16000.0,0,0,0,True,False,False,1.0,0.9704194439765372,High Risk
1,1,2,0,0.5198664943388236,0.0,1,1.0,1.0,11000.0,1,0,1,True,True,False,1.0,0.444458634627388,Medium Risk
2,1,0,2,0.6729865377227907,1.0,0,0.0,1.0,13000.0,0,0,1,False,False,False,0.0,0.029897865389818482,Low Risk
2,2,0,2,0.5561496317258147,1.0,0,1.0,1.0,8000.0,1,0,1,False,False,False,0.0,0.014838571874215561,Low Risk
0,0,1,1,0.3387308869583736,1.0,1,0.0,0.0,12000.0,0,0,0,False,False,False,1.0,0.6128371889921841,High Risk
1,1,2,3,0.4650458561539821,0.0,1,1.0,0.0,12000.0,4,2,1,True,False,False,0.0,0.47325140735725957,Medium Risk
0,0,2,1,0.5033225200786,0.0,1,0.0,0.0,15000.0,0,0,0,False,False,True,1.0,0.7096731509390846,High Risk
2,0,0,2,0.5673375898657691,1.0,0,1.0,1.0,15000.0,0,0,0,True,False,False,1.0,0.18502615410914214,Low Risk
0,0,0,1,0.3917113434432538,0.0,1,0.0,1.0,10000.0,0,0,0,True,False,False,1.0,0.9470383053688721,High Risk
3,3,2,2,0.6327745320998979,1.0,0,1.0,1.0,11000.0,1,0,2,False,False,False,0.0,0.012482811027648484,Low Risk
0,0,2,3,0.5049948526440377,0.0,0,0.0,0.0,8000.0,0,0,0,True,False,False,1.0,0.7981647704088559,High Risk
1,1,2,0,0.4451873369326039,0.0,1,0.0,1.0,16000.0,0,0,0,True,False,True,0.0,0.6086048508797008,High Risk
3,1,2,2,0.5411171526670346,0.0,0,1.0,1.0,7000.0,2,0,4,True,True,False,1.0,0.08794850448490349,Low Risk
1,1,0,0,0.7119888047926283,0.0,1,0.0,1.0,12000.0,1,0,0,False,False,False,0.0,0.48977319761386584,Medium Risk
2,1,2,2,0.5781305873212035,1.0,1,0.0,1.0,14000.0,1,0,1,True,False,False,0.0,0.19414433435980624,Low Risk
3,3,0,0,0.5454738217021173,1.0,1,0.0,1.0,15000.0,3,0,2,False,False,False,0.0,0.06138172424539863,Low Risk
